Lexème,Chapitre,Glose française,Note
ὀπίσω,35,"gén. après, derrière",
"σπέρμα, -ατος, τό",35,"semence, descendance",
"συναγωγή, -ῆς, ἡ",35,synagogue,
"χαρά, -ᾶς, ἡ",35,joie,
"χρεία, -ας, ἡ",35,"besoin, necessité",
"ἁμαρτωλός, -όν",36,pécheur,
ἄρα,36,"alors, donc, ainsi, par conséquent",
διό,36,"c'est pourquoi, donc",
"ἐπιθυμία, -ας, ἡ",36,"désir, passion, convoitise",
"ἔρημος, -ον",36,"adj. désert, déserté; subst. fém. ἡ ἔρημος désert",
"ἔσχατος, -η, -ον",36,dernier,
"οἶνος, -ου, ὁ",36,vin,
"οὖς, ὠτός, τό",36,oreille,
"τιμή, -ῆς, ἡ",36,"prix, valeur, honneur",
χωρίς,36,"gén. sans, à part de",
"ἄρχων, -οντος, ὁ",37,"chef, guide, dirigeant",
γάρ,37,"conj. postpos. car, en effet, donc",
"μαρτυρία, -ας, ἡ",37,témoignage,
μέν,37,"part. postpos. d’une part, certes",
μηδέ,37,et ne… pas; ni; ne pas… même,
μήτε,37,et ne… pas,
οὐδέ,37,"et ne... pas, ni",
οὖν,37,"conj. et part. postpos. donc, par conséquent",
οὔτε,37,"et ne... pas, ni",
τέ,37,conj. postpos. et; τέ... καί à la fois,
αἴρω,38,"lever, enlever, emporter",
ἀπαγγέλλω,38,"informer, annoncer",
ἀποκτείνω,38,"tuer, mettre à mort",
ἐκβάλλω,38,"jeter dehors, expulser, chasser",
παραγγέλλω,38,ordonner,
παραλαμβάνω,38,"recevoir, emmener (2e aoriste παρέλαβον)",
πίνω,38,boire (2e aoriste ἔπιον),"Au futur, le verbe πίνω a un radical distinct (πι-) qui n'est pas liquide, même si le radical du présent laisse supposer que oui. Comme d'autres verbes, la forme de πίνω au futur est moyenne, sans différence de sens."
σπείρω,38,semer,
ὑποτάσσω,38,soumettre,
φαίνω,38,"briller; pass. paraître, apparaître",
"Γαλιλαία, -ας, ἡ",39,Galilée,
"διακονία, -ας, ἡ",39,"service, ministère",
